FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,URL,Has_fight
Kevin Aguilar,67.0,155.0,73.0,Orthodox,1988-09-07,http://ufcstats.com/fighter-details/cf946e03ba2e7666,True
Christian Aguilera,69.0,170.0,72.0,Switch,1991-11-25,http://ufcstats.com/fighter-details/ae071698e1a3ccd4,True
Omari Akhmedov,72.0,185.0,73.0,Orthodox,1987-10-12,http://ufcstats.com/fighter-details/16690d100f995f8f,True
Yoshihiro Akiyama,70.0,170.0,75.0,Orthodox,1975-07-29,http://ufcstats.com/fighter-details/b0550072e5f0afa7,True
Rostem Akman,70.0,170.0,72.0,Switch,1991-12-19,http://ufcstats.com/fighter-details/1fc64507a0cb38cf,True
Razak Al-Hassan,74.0,205.0,,Orthodox,1982-05-14,http://ufcstats.com/fighter-details/38b50fd1e1b5b656,True
Mostapha Al-Turk,74.0,245.0,77.0,Orthodox,1973-07-14,http://ufcstats.com/fighter-details/1cf1310684a841f5,True
Alatengheili,65.0,135.0,66.0,Orthodox,1991-12-14,http://ufcstats.com/fighter-details/1897b7b913736a7c,True
Amir Albazi,65.0,125.0,68.0,Orthodox,1993-10-27,http://ufcstats.com/fighter-details/6d35bf94f7d30241,True
John Albert,68.0,135.0,68.0,Orthodox,1986-10-13,http://ufcstats.com/fighter-details/7bd94b60d7521e4a,True
Junior Albini,75.0,264.0,74.0,Orthodox,1991-03-15,http://ufcstats.com/fighter-details/c482c8605455a213,True
Wes Albritton,70.0,188.0,,Orthodox,,http://ufcstats.com/fighter-details/184b955181bdef52,True
Aleksandra Albu,62.0,115.0,63.0,Orthodox,1990-07-14,http://ufcstats.com/fighter-details/e76d9f656ceb82ab,True
Iuri Alcantara,69.0,135.0,71.0,Southpaw,1980-08-04,http://ufcstats.com/fighter-details/2f95a3c6d58b2aad,True
Ildemar Alcantara,74.0,185.0,78.0,Orthodox,1982-11-18,http://ufcstats.com/fighter-details/7c6e87729e824ef4,True
Alfonso Alcarez,63.0,145.0,,,1970-06-10,http://ufcstats.com/fighter-details/1e38bba6738b7b10,True
Gilbert Aldana,73.0,250.0,,Orthodox,1977-08-25,http://ufcstats.com/fighter-details/d26934530dc5b248,True
Irene Aldana,69.0,135.0,68.0,Orthodox,1988-03-26,http://ufcstats.com/fighter-details/578ef12674df1e6a,True
Hector Aldana,71.0,170.0,72.0,Orthodox,1988-08-17,http://ufcstats.com/fighter-details/c487223b0289bda9,True
Jose Aldo,67.0,135.0,70.0,Orthodox,1986-09-09,http://ufcstats.com/fighter-details/d0f3959b4a9747e6,True
JJ Aldrich,65.0,125.0,67.0,Southpaw,1992-09-29,http://ufcstats.com/fighter-details/6fd953151d981979,True
Jim Alers,69.0,145.0,71.0,Orthodox,1986-10-14,http://ufcstats.com/fighter-details/fe5a9547479396ab,True
John Alessio,70.0,155.0,72.0,Orthodox,1979-07-05,http://ufcstats.com/fighter-details/7a15f3694c5cbc02,True
Houston Alexander,72.0,205.0,72.0,Orthodox,1972-03-22,http://ufcstats.com/fighter-details/0541480fbf719d86,True
Marcio Alexandre Junior,72.0,185.0,75.0,Southpaw,1989-05-05,http://ufcstats.com/fighter-details/d53482bef23235ba,True
Bill Algeo,72.0,145.0,73.0,Switch,1989-06-09,http://ufcstats.com/fighter-details/9abc648e76c4493a,True
Royce Alger,70.0,199.0,,Orthodox,,http://ufcstats.com/fighter-details/669a3cb6e394f515,True
Sultan Aliev,71.0,170.0,74.0,Orthodox,1984-09-17,http://ufcstats.com/fighter-details/e70de1859b7ee78e,True
John Allan,73.0,205.0,75.0,Orthodox,1993-02-22,http://ufcstats.com/fighter-details/6ebe96a116e79e52,True
Arnold Allen,68.0,145.0,70.0,Southpaw,1994-01-22,http://ufcstats.com/fighter-details/040a74bb0a465c54,True
Brendan Allen,74.0,185.0,75.0,Orthodox,1995-12-28,http://ufcstats.com/fighter-details/2f181c0467965b98,True
Ben Alloway,71.0,170.0,76.0,Orthodox,1981-02-19,http://ufcstats.com/fighter-details/c4fe2e9a06ea5bcb,True
Ricardo Almeida,72.0,170.0,74.0,Orthodox,1976-11-29,http://ufcstats.com/fighter-details/91186547a7f3f758,True
Thomas Almeida,67.0,145.0,70.0,Southpaw,1991-07-31,http://ufcstats.com/fighter-details/2b074403b7c6cdb4,True
Ericka Almeida,66.0,115.0,,Orthodox,1989-03-05,http://ufcstats.com/fighter-details/67a992d4cff22466,True
Jailton Almeida,75.0,205.0,79.0,Orthodox,1991-06-26,http://ufcstats.com/fighter-details/41e83a89929d1327,True
Lucas Almeida,71.0,155.0,71.0,Orthodox,1991-01-13,http://ufcstats.com/fighter-details/710f0f8c5d5c9d41,True
Sarah Alpar,64.0,135.0,63.0,Southpaw,1991-06-01,http://ufcstats.com/fighter-details/49b130de1da2e1bf,True
Ali AlQaisi,66.0,135.0,68.0,Orthodox,1990-09-23,http://ufcstats.com/fighter-details/e87a13e02c01331d,True
Victor Altamirano,68.0,125.0,70.0,Switch,1991-01-23,http://ufcstats.com/fighter-details/dc7927cd622676a7,True
Sean Alvarez,72.0,235.0,,Orthodox,1971-07-14,http://ufcstats.com/fighter-details/e741536153227386,True
Eddie Alvarez,69.0,155.0,69.0,Orthodox,1984-01-11,http://ufcstats.com/fighter-details/33a331684283900f,True
Joel Alvarez,75.0,155.0,77.0,Orthodox,1993-03-02,http://ufcstats.com/fighter-details/58bbef3770bb2dfc,True
Thiago Alves,69.0,170.0,70.0,Orthodox,1983-10-03,http://ufcstats.com/fighter-details/31ee470ef5dc8d7f,True
Amilcar Alves,72.0,170.0,,Southpaw,1988-08-08,http://ufcstats.com/fighter-details/dc5a6b2fdb27e7dc,True
Warlley Alves,71.0,170.0,72.0,Orthodox,1991-01-04,http://ufcstats.com/fighter-details/d317a5e2b3f88c5f,True
Rafael Alves,68.0,155.0,68.0,Orthodox,1990-11-14,http://ufcstats.com/fighter-details/029afd138865d20a,True
Sam Alvey,74.0,185.0,75.0,Southpaw,1986-05-06,http://ufcstats.com/fighter-details/d156513a19acf856,True
Adlan Amagov,74.0,170.0,76.0,Orthodox,1986-10-30,http://ufcstats.com/fighter-details/1e327b281ef6a745,True
Alen Amedovski,70.0,185.0,74.0,Orthodox,1988-04-06,http://ufcstats.com/fighter-details/70fa1c64a2c439ef,True
Makwan Amirkhani,70.0,145.0,72.0,Southpaw,1988-11-08,http://ufcstats.com/fighter-details/87a1dc546b1c5caf,True
Eryk Anders,73.0,185.0,75.0,Southpaw,1987-04-21,http://ufcstats.com/fighter-details/cad24459b28592ca,True
Matt Andersen,74.0,230.0,,Southpaw,1971-05-29,http://ufcstats.com/fighter-details/8738eacd62e82a32,True
Andy Anderson,66.0,240.0,,,1974-07-16,http://ufcstats.com/fighter-details/9199e0735b83dd32,True
Lowell Anderson,66.0,160.0,,Orthodox,,http://ufcstats.com/fighter-details/1ffc38f67785797b,True
Corey Anderson,75.0,205.0,79.0,Orthodox,1989-09-22,http://ufcstats.com/fighter-details/5e4eec08896c9423,True
Megan Anderson,72.0,145.0,72.0,Orthodox,1990-02-11,http://ufcstats.com/fighter-details/a0e75f4a13eb73f1,True
Alex Andrade,71.0,200.0,,Orthodox,1974-05-14,http://ufcstats.com/fighter-details/1562b12763cc8d67,True
Jessica Andrade,61.0,125.0,62.0,Orthodox,1991-09-25,http://ufcstats.com/fighter-details/6a1901c62ab3870f,True
Viscardi Andrade,71.0,170.0,75.0,Orthodox,1984-03-08,http://ufcstats.com/fighter-details/d221ee27afc7a60e,True
Jermaine Andre,67.0,200.0,,Orthodox,,http://ufcstats.com/fighter-details/9bad58fa651d6196,True
Dylan Andrews,73.0,185.0,74.0,Switch,1979-11-15,http://ufcstats.com/fighter-details/00debc804e2b1cd4,True
Reese Andy,72.0,205.0,,Orthodox,1973-03-31,http://ufcstats.com/fighter-details/46e2ca71fd5089cb,True
Collin Anglin,69.0,145.0,71.0,Orthodox,1993-02-20,http://ufcstats.com/fighter-details/047a91d3d9c79b05,True
Chad Anheliger,66.0,135.0,64.0,Orthodox,1986-12-01,http://ufcstats.com/fighter-details/c7c39e2fb70248b3,True
Yoji Anjo,71.0,205.0,,Orthodox,1967-03-28,http://ufcstats.com/fighter-details/e06fd1260ac865a7,True
Magomed Ankalaev,75.0,205.0,75.0,Orthodox,1992-06-02,http://ufcstats.com/fighter-details/d802174b0c0c1f4e,True
Gadzhimurad Antigulov,71.0,205.0,70.0,Orthodox,1987-02-09,http://ufcstats.com/fighter-details/af997f7611673880,True
Azunna Anyanwu,73.0,251.0,,Orthodox,1981-08-05,http://ufcstats.com/fighter-details/78d48d3874dacafd,True
Shinsho Anzai,67.0,170.0,70.0,Orthodox,1985-12-01,http://ufcstats.com/fighter-details/4665f9f909cd7214,True
Aoriqileng,67.0,125.0,69.0,Orthodox,1993-06-25,http://ufcstats.com/fighter-details/7d420039bbfe7c1a,True
Romie Aram,70.0,170.0,,Orthodox,1977-12-02,http://ufcstats.com/fighter-details/73ef22f25d0f70e2,True
Felipe Arantes,68.0,135.0,73.0,Orthodox,1988-02-09,http://ufcstats.com/fighter-details/71002dbc1743b9a7,True
Igor Araujo,73.0,170.0,77.0,Orthodox,1980-12-06,http://ufcstats.com/fighter-details/dbea8c1cb327ab3d,True
Viviane Araujo,64.0,125.0,68.0,Orthodox,1986-11-21,http://ufcstats.com/fighter-details/36541f1e6c5d4955,True
Julio Arce,67.0,145.0,70.0,Southpaw,1989-10-27,http://ufcstats.com/fighter-details/1291edf2d566a71a,True
Andrei Arlovski,75.0,240.0,77.0,Orthodox,1979-02-04,http://ufcstats.com/fighter-details/3738e68d2261e60f,True
Austin Arnett,72.0,145.0,72.0,Orthodox,1991-10-22,http://ufcstats.com/fighter-details/bf0e700106d00e55,True
Akbarh Arreola,70.0,155.0,71.0,Southpaw,1983-01-14,http://ufcstats.com/fighter-details/c136b2a8852da5bd,True
Matt Arroyo,70.0,170.0,72.0,Orthodox,1982-09-01,http://ufcstats.com/fighter-details/de62052b2ede65ba,True
Antonio Arroyo,75.0,185.0,73.0,Orthodox,1989-07-01,http://ufcstats.com/fighter-details/61fb8098ccf81c7f,True
Cesar Arzamendia,71.0,155.0,,Orthodox,1991-01-31,http://ufcstats.com/fighter-details/49f78022126bf4a4,True
Askar Askarov,66.0,125.0,67.0,Orthodox,1992-10-09,http://ufcstats.com/fighter-details/b1d19449397541dc,True
Cyril Asker,72.0,247.0,74.0,Orthodox,1985-12-24,http://ufcstats.com/fighter-details/9be6020024133293,True
Scott Askham,75.0,185.0,75.0,Southpaw,1988-05-20,http://ufcstats.com/fighter-details/06827d70c53ff0d9,True
Ben Askren,71.0,170.0,73.0,Orthodox,1984-07-18,http://ufcstats.com/fighter-details/0b31f87be71ebbb1,True
Tom Aspinall,77.0,256.0,78.0,Orthodox,1993-04-11,http://ufcstats.com/fighter-details/399afbabc02376b5,True
Junior Assuncao,69.0,145.0,72.0,Orthodox,1981-06-24,http://ufcstats.com/fighter-details/d0d7160824278840,True
Raphael Assuncao,65.0,135.0,66.0,Orthodox,1982-07-19,http://ufcstats.com/fighter-details/2f13e4020cea5b38,True
Rich Attonito,70.0,170.0,72.0,Orthodox,1977-06-16,http://ufcstats.com/fighter-details/210935fd21670f6d,True
Olivier Aubin-Mercier,69.0,155.0,70.0,Southpaw,1989-02-23,http://ufcstats.com/fighter-details/55ee431411ccf07a,True
Pat Audinwood,72.0,155.0,,Orthodox,1986-04-16,http://ufcstats.com/fighter-details/196ed28337adc630,True
Marcus Aurelio,70.0,155.0,74.0,Orthodox,1973-08-18,http://ufcstats.com/fighter-details/04643fd03d9159cc,True
Chris Avila,70.0,145.0,,Orthodox,1993-01-16,http://ufcstats.com/fighter-details/4665cbf36b08193b,True
Julia Avila,67.0,135.0,68.0,Orthodox,1988-05-11,http://ufcstats.com/fighter-details/86d9dbe1bfcbade7,True
Jessin Ayari,72.0,155.0,73.0,Orthodox,1992-05-31,http://ufcstats.com/fighter-details/6eaec40f724852f4,True
Abu Azaitar,69.0,185.0,76.0,Orthodox,1986-03-10,http://ufcstats.com/fighter-details/46d0a888d87d91ac,True
Ottman Azaitar,68.0,155.0,71.0,Switch,1990-02-20,http://ufcstats.com/fighter-details/ee18ff42063174df,True
Hunter Azure,68.0,145.0,69.0,Orthodox,1992-03-02,http://ufcstats.com/fighter-details/2af2f2e26c4c0402,True
Niklas Backstrom,73.0,145.0,,Orthodox,1989-08-22,http://ufcstats.com/fighter-details/39cc64bf0a269db9,True
Seth Baczynski,75.0,170.0,75.0,Orthodox,1981-10-26,http://ufcstats.com/fighter-details/fd5b6598a3b70c0a,True
Ryan Bader,74.0,205.0,74.0,Orthodox,1983-06-07,http://ufcstats.com/fighter-details/c0ab242c40decc55,True
Izabela Badurek,65.0,115.0,,Orthodox,1991-07-11,http://ufcstats.com/fighter-details/4fcf6e0c4e0e6664,True
Miguel Baeza,74.0,170.0,74.0,Orthodox,1992-08-23,http://ufcstats.com/fighter-details/82d4c957649faf9b,True
Ali Bagautinov,64.0,125.0,65.0,Orthodox,1985-06-10,http://ufcstats.com/fighter-details/3dd92ff9fb0412b3,True
Mehdi Baghdad,73.0,155.0,,Orthodox,1985-04-13,http://ufcstats.com/fighter-details/e4d2564ea0e34e2b,True
Melsik Baghdasaryan,69.0,145.0,70.0,Southpaw,1992-01-28,http://ufcstats.com/fighter-details/a52bc1e62cf0b7c6,True
Siyar Bahadurzada,71.0,170.0,73.0,Orthodox,1984-04-17,http://ufcstats.com/fighter-details/aec185309b4843d0,True
Ignacio Bahamondes,75.0,155.0,75.0,Orthodox,1997-08-27,http://ufcstats.com/fighter-details/e4a47b07044ddd72,True
Shamar Bailey,69.0,155.0,75.0,Southpaw,1982-09-22,http://ufcstats.com/fighter-details/e2b8186b618b00c4,True
Scott Baker,72.0,210.0,,,,http://ufcstats.com/fighter-details/7d5b12de1625984e,True
Oluwale Bamgbose,71.0,185.0,78.0,Switch,1987-08-04,http://ufcstats.com/fighter-details/04b39f4e8eb59d7c,True
Marcin Bandel,70.0,155.0,,Orthodox,1989-10-10,http://ufcstats.com/fighter-details/5c2ce761399dc9c5,True
Humberto Bandenay,71.0,145.0,71.0,Southpaw,1994-09-04,http://ufcstats.com/fighter-details/2c2caf2f2bab9df5,True
Tae Hyun Bang,69.0,155.0,71.0,Switch,1983-04-15,http://ufcstats.com/fighter-details/9a2d3567abc02e34,True
Antonio Banuelos,65.0,135.0,63.0,Orthodox,1979-09-23,http://ufcstats.com/fighter-details/9ddfb3369a3b0394,True
Renan Barao,66.0,145.0,70.0,Orthodox,1987-01-31,http://ufcstats.com/fighter-details/2c99576fefe53c7c,True
Maycee Barber,65.0,125.0,65.0,Switch,1998-05-18,http://ufcstats.com/fighter-details/6a740daf1b279661,True
Bryan Barberena,72.0,170.0,72.0,Southpaw,1989-05-03,http://ufcstats.com/fighter-details/a331233f597090a5,True
Edson Barboza,71.0,145.0,75.0,Orthodox,1986-01-21,http://ufcstats.com/fighter-details/64a50dad704d1d49,True
Raoni Barcelos,67.0,135.0,67.0,Orthodox,1987-05-01,http://ufcstats.com/fighter-details/b9f28e7045fdfce7,True
Luke Barnatt,78.0,185.0,77.0,Orthodox,1988-04-13,http://ufcstats.com/fighter-details/172c2135e70f87b7,True
Josh Barnett,75.0,250.0,78.0,Orthodox,1977-11-10,http://ufcstats.com/fighter-details/ad3f53c454cbbead,True
Chris Barnett,69.0,265.0,75.0,Orthodox,1986-06-14,http://ufcstats.com/fighter-details/7a5e8c94a86f9895,True
David Baron,66.0,155.0,,Switch,1973-02-15,http://ufcstats.com/fighter-details/80c0bed43da0e27b,True
Phil Baroni,69.0,170.0,72.0,Orthodox,1976-04-16,http://ufcstats.com/fighter-details/1652f3213655b935,True
Dan Barrera,69.0,170.0,,Orthodox,1980-12-23,http://ufcstats.com/fighter-details/f12f979b657ab876,True
Carlos Barreto,76.0,230.0,,Orthodox,,http://ufcstats.com/fighter-details/a220be6d41d6f97d,True
Peter Barrett,70.0,145.0,73.0,Southpaw,1986-08-10,http://ufcstats.com/fighter-details/d21113c9ff3788ae,True
Marc-Andre Barriault,73.0,185.0,74.0,Orthodox,1990-02-18,http://ufcstats.com/fighter-details/8e9eb3fc86db0f7d,True
Alexandre Barros,69.0,170.0,,Southpaw,1976-11-19,http://ufcstats.com/fighter-details/8fd1f27e86661ede,True
Francimar Barroso,73.0,205.0,75.0,Orthodox,1980-02-28,http://ufcstats.com/fighter-details/b69f24c500d783e7,True
Pat Barry,71.0,235.0,74.0,Orthodox,1979-07-07,http://ufcstats.com/fighter-details/658c3465581ae46b,True
Dean Barry,,155.0,,,1992-03-07,http://ufcstats.com/fighter-details/a6f3d15cb84334bb,True
Enrique Barzola,67.0,145.0,70.0,Orthodox,1989-04-28,http://ufcstats.com/fighter-details/be0b310a12eb80b4,True
Javid Basharat,69.0,135.0,69.0,Orthodox,1995-09-07,http://ufcstats.com/fighter-details/bbab3baf66128ae2,True
Stephen Bass,69.0,145.0,,Orthodox,1982-11-14,http://ufcstats.com/fighter-details/1cecc8fe6748a532,True
Shayna Baszler,67.0,135.0,,Orthodox,1980-08-08,http://ufcstats.com/fighter-details/8ef4a91ac694b7ce,True
Michel Batista,75.0,260.0,,Orthodox,1984-04-20,http://ufcstats.com/fighter-details/34218661c44ed55d,True
Bryan Battle,73.0,185.0,77.0,Orthodox,1994-09-21,http://ufcstats.com/fighter-details/f626118b6da0e020,True
Alan Baudot,75.0,243.0,79.0,Orthodox,1988-02-01,http://ufcstats.com/fighter-details/c9a94278df042f46,True
Mario Bautista,69.0,135.0,69.0,Switch,1993-07-01,http://ufcstats.com/fighter-details/bc711b6dd95c1af6,True
Chris Beal,67.0,125.0,69.0,Orthodox,1985-08-06,http://ufcstats.com/fighter-details/55f446032177b119,True
Ariel Beck,66.0,125.0,66.0,Southpaw,1990-09-16,http://ufcstats.com/fighter-details/b96939f2b8d88e82,True
Johnny Bedford,70.0,135.0,71.0,Orthodox,1983-01-06,http://ufcstats.com/fighter-details/ffc3e6daaa6da0b7,True
Mirsad Bektic,68.0,145.0,70.0,Orthodox,1991-02-16,http://ufcstats.com/fighter-details/cbd3e590a85b18c5,True
Diana Belbita,67.0,125.0,68.0,Orthodox,1996-06-26,http://ufcstats.com/fighter-details/d7e40dca3ae125be,True
Alan Belcher,74.0,185.0,75.0,Orthodox,1984-04-24,http://ufcstats.com/fighter-details/4130a743d9d22163,True
Vitor Belfort,72.0,185.0,74.0,Southpaw,1977-04-01,http://ufcstats.com/fighter-details/0ee783aa00e468f0,True
Danilo Belluardo,72.0,155.0,74.0,Southpaw,1994-07-21,http://ufcstats.com/fighter-details/c3f6db17cea09ca7,True
Joey Beltran,73.0,185.0,75.0,Orthodox,1981-12-08,http://ufcstats.com/fighter-details/46baf0f57edfa4df,True
Marco Beltran,68.0,125.0,69.0,Orthodox,1986-05-18,http://ufcstats.com/fighter-details/ec71a892fada28c7,True
Joseph Benavidez,64.0,125.0,65.0,Southpaw,1984-07-31,http://ufcstats.com/fighter-details/80eacd4da0617c57,True
Dave Beneteau,74.0,250.0,,Orthodox,,http://ufcstats.com/fighter-details/9fd1f08dd4aec14a,True
Gabriel Benitez,68.0,155.0,71.0,Southpaw,1988-06-15,http://ufcstats.com/fighter-details/436f970c9ea9169c,True
DeAnna Bennett,64.0,125.0,68.0,Orthodox,1984-11-18,http://ufcstats.com/fighter-details/404ecb2700844072,True
Lance Benoist,71.0,170.0,72.0,Southpaw,1988-08-26,http://ufcstats.com/fighter-details/5431dccc09118234,True
Ryan Benoit,65.0,125.0,68.0,Orthodox,1989-08-25,http://ufcstats.com/fighter-details/20999e27ddd94bda,True
Steve Berger,71.0,170.0,,Orthodox,1973-05-20,http://ufcstats.com/fighter-details/21b1132949f2a9b0,True
Keith Berish,72.0,205.0,,Orthodox,1985-11-14,http://ufcstats.com/fighter-details/e3779ef06e98f185,True
Dennis Bermudez,66.0,155.0,66.0,Orthodox,1986-12-13,http://ufcstats.com/fighter-details/6f242453c91a5af0,True
Manny Bermudez,70.0,145.0,71.0,Orthodox,1994-07-16,http://ufcstats.com/fighter-details/2dc1bc1a02961656,True
Talita Bernardo,64.0,135.0,68.0,Orthodox,1987-03-04,http://ufcstats.com/fighter-details/5b2325cd70dbe2ea,True
Dieusel Berto,69.0,200.0,,,,http://ufcstats.com/fighter-details/0db70ca89e1c7374,True
Allen Berube,68.0,155.0,,Orthodox,1974-08-25,http://ufcstats.com/fighter-details/aebfb84d1f6d2d8c,True
Scott Bessac,76.0,245.0,,,,http://ufcstats.com/fighter-details/3f24c96753dbd9f9,True
Matt Bessette,70.0,145.0,70.0,Orthodox,1984-12-28,http://ufcstats.com/fighter-details/0b8d512c79b4baf3,True
Arjan Bhullar,73.0,245.0,75.0,Orthodox,1986-05-13,http://ufcstats.com/fighter-details/7e511f8d842a109d,True
KB Bhullar,76.0,185.0,78.0,Switch,1991-10-12,http://ufcstats.com/fighter-details/9cd047a828dd7515,True
Bibulatov Magomed,65.0,125.0,65.0,Orthodox,1988-08-22,http://ufcstats.com/fighter-details/87f19d19f4cb73f8,True
David Bielkheden,70.0,155.0,71.0,Orthodox,1979-06-06,http://ufcstats.com/fighter-details/1efa064872f089d0,True
Anthony Birchak,68.0,135.0,69.0,Orthodox,1986-05-16,http://ufcstats.com/fighter-details/c5a126ace82a6025,True
Michael Bisping,73.0,185.0,75.0,Orthodox,1979-02-28,http://ufcstats.com/fighter-details/2b93ebd9f5417ad2,True
Amaury Bitetti,69.0,185.0,,Orthodox,,http://ufcstats.com/fighter-details/7a359ef685a304a7,True
Jan Blachowicz,74.0,205.0,78.0,Orthodox,1983-02-24,http://ufcstats.com/fighter-details/99df7d0a2a08a8a8,True
Jason Black,68.0,155.0,,Orthodox,1972-07-15,http://ufcstats.com/fighter-details/b2f743746e8dcfa2,True
Brad Blackburn,70.0,170.0,73.0,Orthodox,1977-05-25,http://ufcstats.com/fighter-details/7e69a4b0961aa555,True
Tom Blackledge,,205.0,,Orthodox,,http://ufcstats.com/fighter-details/2adb11835acd815b,True
Erin Blanchfield,64.0,125.0,66.0,Orthodox,1999-05-04,http://ufcstats.com/fighter-details/669970f7feba8ecd,True
Maximo Blanco,68.0,145.0,71.0,Orthodox,1983-10-16,http://ufcstats.com/fighter-details/4a1329cc8eb0928a,True
Curtis Blaydes,76.0,265.0,80.0,Orthodox,1991-02-18,http://ufcstats.com/fighter-details/fa6796c55d6c5440,True
Byron Bloodworth,68.0,135.0,,Orthodox,1983-08-16,http://ufcstats.com/fighter-details/ecdf14f4f8643d39,True
Dan Bobish,74.0,345.0,,Southpaw,1970-01-26,http://ufcstats.com/fighter-details/f348d05403fad037,True
Mark Bocek,68.0,155.0,75.0,Orthodox,1981-10-24,http://ufcstats.com/fighter-details/cf9d24e4bd0cf2ce,True
Kyle Bochniak,67.0,145.0,70.0,Orthodox,1987-02-05,http://ufcstats.com/fighter-details/c5af5750e8bae4f0,True
James Bochnovic,76.0,205.0,81.0,Orthodox,1989-02-13,http://ufcstats.com/fighter-details/984d15d5dc7bfcf9,True
Tim Boetsch,72.0,185.0,74.0,Orthodox,1981-01-28,http://ufcstats.com/fighter-details/c80095f6092271a7,True
Galore Bofando,71.0,170.0,72.0,Switch,1982-05-22,http://ufcstats.com/fighter-details/8a56ea383fd26e52,True
Roman Bogatov,68.0,155.0,73.0,Orthodox,1990-12-15,http://ufcstats.com/fighter-details/d61316139d68dbe3,True
Jerry Bohlander,71.0,199.0,,Orthodox,1974-02-12,http://ufcstats.com/fighter-details/93892752c5fc23ca,True
Mandy Bohm,67.0,125.0,71.0,Orthodox,1989-07-30,http://ufcstats.com/fighter-details/297a2b35444c245b,True
Denys Bondar,66.0,125.0,69.0,Orthodox,1992-06-27,http://ufcstats.com/fighter-details/2526be54e6a0e62a,True
Jesse Bongfeldt,72.0,185.0,,Orthodox,1980-08-28,http://ufcstats.com/fighter-details/934de214814b8ff4,True
Stephan Bonnar,76.0,205.0,79.0,Orthodox,1977-04-04,http://ufcstats.com/fighter-details/c6a33ff198aaaeeb,True
Rogerio Bontorin,65.0,125.0,67.0,Orthodox,1992-04-25,http://ufcstats.com/fighter-details/07a2bdaa0afdd831,True
Ray Borg,64.0,135.0,63.0,Orthodox,1993-08-04,http://ufcstats.com/fighter-details/a4de54ea806fb525,True
Caio Borralho,70.0,205.0,75.0,Southpaw,1993-01-16,http://ufcstats.com/fighter-details/4126a78111c0855a,True
Viacheslav Borshchev,71.0,155.0,69.0,Orthodox,1992-01-08,http://ufcstats.com/fighter-details/19c591115a58982c,True
Tanner Boser,74.0,255.0,75.0,Orthodox,1991-08-02,http://ufcstats.com/fighter-details/04c8b08b16a5b99e,True
Steve Bosse,71.0,205.0,72.0,Orthodox,1981-07-29,http://ufcstats.com/fighter-details/e023fa2e648ea0f1,True
Marcus Bossett,73.0,215.0,,Orthodox,,http://ufcstats.com/fighter-details/e8fb8e53bc2e29d6,True
Poliana Botelho,68.0,115.0,67.0,Orthodox,1988-12-15,http://ufcstats.com/fighter-details/5c126c6aac3ef364,True
Tai Bowden,71.0,230.0,,,,http://ufcstats.com/fighter-details/2efbc83a6b9b7f86,True
Melton Bowen,72.0,225.0,,Orthodox,1969-07-16,http://ufcstats.com/fighter-details/81ca2c245b19b3c5,True
Brian Bowles,67.0,135.0,70.0,Orthodox,1980-06-22,http://ufcstats.com/fighter-details/b26d3e3746fb4024,True
Roger Bowling,69.0,155.0,68.0,Orthodox,1982-12-05,http://ufcstats.com/fighter-details/3b9f723e2720a238,True
Kyle Bradley,69.0,155.0,71.0,Orthodox,1982-08-19,http://ufcstats.com/fighter-details/a6959da32f0e6b5d,True
Paul Bradley,69.0,170.0,,Orthodox,1983-06-13,http://ufcstats.com/fighter-details/c7011de4765d2497,True
