FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,URL,Has_fight,AGE
Cesar Arzamendia,71.0,155.0,,Orthodox,1991-01-31,http://ufcstats.com/fighter-details/49f78022126bf4a4,True,31.0
Askar Askarov,66.0,125.0,67.0,Orthodox,1992-10-09,http://ufcstats.com/fighter-details/b1d19449397541dc,True,30.0
Cyril Asker,72.0,247.0,74.0,Orthodox,1985-12-24,http://ufcstats.com/fighter-details/9be6020024133293,True,37.0
Scott Askham,75.0,185.0,75.0,Southpaw,1988-05-20,http://ufcstats.com/fighter-details/06827d70c53ff0d9,True,34.0
Ben Askren,71.0,170.0,73.0,Orthodox,1984-07-18,http://ufcstats.com/fighter-details/0b31f87be71ebbb1,True,38.0
Tom Aspinall,77.0,256.0,78.0,Orthodox,1993-04-11,http://ufcstats.com/fighter-details/399afbabc02376b5,True,29.0
Junior Assuncao,69.0,145.0,72.0,Orthodox,1981-06-24,http://ufcstats.com/fighter-details/d0d7160824278840,True,41.0
Raphael Assuncao,65.0,135.0,66.0,Orthodox,1982-07-19,http://ufcstats.com/fighter-details/2f13e4020cea5b38,True,40.0
Rich Attonito,70.0,170.0,72.0,Orthodox,1977-06-16,http://ufcstats.com/fighter-details/210935fd21670f6d,True,45.0
Olivier Aubin-Mercier,69.0,155.0,70.0,Southpaw,1989-02-23,http://ufcstats.com/fighter-details/55ee431411ccf07a,True,33.0
Pat Audinwood,72.0,155.0,,Orthodox,1986-04-16,http://ufcstats.com/fighter-details/196ed28337adc630,True,36.0
Marcus Aurelio,70.0,155.0,74.0,Orthodox,1973-08-18,http://ufcstats.com/fighter-details/04643fd03d9159cc,True,49.0
Chris Avila,70.0,145.0,,Orthodox,1993-01-16,http://ufcstats.com/fighter-details/4665cbf36b08193b,True,30.0
Julia Avila,67.0,135.0,68.0,Orthodox,1988-05-11,http://ufcstats.com/fighter-details/86d9dbe1bfcbade7,True,34.0
Jessin Ayari,72.0,155.0,73.0,Orthodox,1992-05-31,http://ufcstats.com/fighter-details/6eaec40f724852f4,True,30.0
Abu Azaitar,69.0,185.0,76.0,Orthodox,1986-03-10,http://ufcstats.com/fighter-details/46d0a888d87d91ac,True,36.0
Ottman Azaitar,68.0,155.0,71.0,Switch,1990-02-20,http://ufcstats.com/fighter-details/ee18ff42063174df,True,32.0
Hunter Azure,68.0,145.0,69.0,Orthodox,1992-03-02,http://ufcstats.com/fighter-details/2af2f2e26c4c0402,True,30.0
Niklas Backstrom,73.0,145.0,,Orthodox,1989-08-22,http://ufcstats.com/fighter-details/39cc64bf0a269db9,True,33.0
Seth Baczynski,75.0,170.0,75.0,Orthodox,1981-10-26,http://ufcstats.com/fighter-details/fd5b6598a3b70c0a,True,41.0
Ryan Bader,74.0,205.0,74.0,Orthodox,1983-06-07,http://ufcstats.com/fighter-details/c0ab242c40decc55,True,39.0
Izabela Badurek,65.0,115.0,,Orthodox,1991-07-11,http://ufcstats.com/fighter-details/4fcf6e0c4e0e6664,True,31.0
Miguel Baeza,74.0,170.0,74.0,Orthodox,1992-08-23,http://ufcstats.com/fighter-details/82d4c957649faf9b,True,30.0
Ali Bagautinov,64.0,125.0,65.0,Orthodox,1985-06-10,http://ufcstats.com/fighter-details/3dd92ff9fb0412b3,True,37.0
Mehdi Baghdad,73.0,155.0,,Orthodox,1985-04-13,http://ufcstats.com/fighter-details/e4d2564ea0e34e2b,True,37.0
Melsik Baghdasaryan,69.0,145.0,70.0,Southpaw,1992-01-28,http://ufcstats.com/fighter-details/a52bc1e62cf0b7c6,True,31.0
Siyar Bahadurzada,71.0,170.0,73.0,Orthodox,1984-04-17,http://ufcstats.com/fighter-details/aec185309b4843d0,True,38.0
Ignacio Bahamondes,75.0,155.0,75.0,Orthodox,1997-08-27,http://ufcstats.com/fighter-details/e4a47b07044ddd72,True,25.0
Shamar Bailey,69.0,155.0,75.0,Southpaw,1982-09-22,http://ufcstats.com/fighter-details/e2b8186b618b00c4,True,40.0
Scott Baker,72.0,210.0,,,,http://ufcstats.com/fighter-details/7d5b12de1625984e,True,
Oluwale Bamgbose,71.0,185.0,78.0,Switch,1987-08-04,http://ufcstats.com/fighter-details/04b39f4e8eb59d7c,True,35.0
Marcin Bandel,70.0,155.0,,Orthodox,1989-10-10,http://ufcstats.com/fighter-details/5c2ce761399dc9c5,True,33.0
Humberto Bandenay,71.0,145.0,71.0,Southpaw,1994-09-04,http://ufcstats.com/fighter-details/2c2caf2f2bab9df5,True,28.0
Tae Hyun Bang,69.0,155.0,71.0,Switch,1983-04-15,http://ufcstats.com/fighter-details/9a2d3567abc02e34,True,39.0
Antonio Banuelos,65.0,135.0,63.0,Orthodox,1979-09-23,http://ufcstats.com/fighter-details/9ddfb3369a3b0394,True,43.0
Renan Barao,66.0,145.0,70.0,Orthodox,1987-01-31,http://ufcstats.com/fighter-details/2c99576fefe53c7c,True,35.0
Maycee Barber,65.0,125.0,65.0,Switch,1998-05-18,http://ufcstats.com/fighter-details/6a740daf1b279661,True,24.0
Bryan Barberena,72.0,170.0,72.0,Southpaw,1989-05-03,http://ufcstats.com/fighter-details/a331233f597090a5,True,33.0
Edson Barboza,71.0,145.0,75.0,Orthodox,1986-01-21,http://ufcstats.com/fighter-details/64a50dad704d1d49,True,37.0
Raoni Barcelos,67.0,135.0,67.0,Orthodox,1987-05-01,http://ufcstats.com/fighter-details/b9f28e7045fdfce7,True,35.0
Luke Barnatt,78.0,185.0,77.0,Orthodox,1988-04-13,http://ufcstats.com/fighter-details/172c2135e70f87b7,True,34.0
Josh Barnett,75.0,250.0,78.0,Orthodox,1977-11-10,http://ufcstats.com/fighter-details/ad3f53c454cbbead,True,45.0
Chris Barnett,69.0,265.0,75.0,Orthodox,1986-06-14,http://ufcstats.com/fighter-details/7a5e8c94a86f9895,True,36.0
David Baron,66.0,155.0,,Switch,1973-02-15,http://ufcstats.com/fighter-details/80c0bed43da0e27b,True,49.0
Phil Baroni,69.0,170.0,72.0,Orthodox,1976-04-16,http://ufcstats.com/fighter-details/1652f3213655b935,True,46.0
Dan Barrera,69.0,170.0,,Orthodox,1980-12-23,http://ufcstats.com/fighter-details/f12f979b657ab876,True,42.0
Carlos Barreto,76.0,230.0,,Orthodox,,http://ufcstats.com/fighter-details/a220be6d41d6f97d,True,
Peter Barrett,70.0,145.0,73.0,Southpaw,1986-08-10,http://ufcstats.com/fighter-details/d21113c9ff3788ae,True,36.0
Marc-Andre Barriault,73.0,185.0,74.0,Orthodox,1990-02-18,http://ufcstats.com/fighter-details/8e9eb3fc86db0f7d,True,32.0
Alexandre Barros,69.0,170.0,,Southpaw,1976-11-19,http://ufcstats.com/fighter-details/8fd1f27e86661ede,True,46.0
Francimar Barroso,73.0,205.0,75.0,Orthodox,1980-02-28,http://ufcstats.com/fighter-details/b69f24c500d783e7,True,42.0
Pat Barry,71.0,235.0,74.0,Orthodox,1979-07-07,http://ufcstats.com/fighter-details/658c3465581ae46b,True,43.0
Dean Barry,,155.0,,,1992-03-07,http://ufcstats.com/fighter-details/a6f3d15cb84334bb,True,30.0
Enrique Barzola,67.0,145.0,70.0,Orthodox,1989-04-28,http://ufcstats.com/fighter-details/be0b310a12eb80b4,True,33.0
Javid Basharat,69.0,135.0,69.0,Orthodox,1995-09-07,http://ufcstats.com/fighter-details/bbab3baf66128ae2,True,27.0
Stephen Bass,69.0,145.0,,Orthodox,1982-11-14,http://ufcstats.com/fighter-details/1cecc8fe6748a532,True,40.0
Shayna Baszler,67.0,135.0,,Orthodox,1980-08-08,http://ufcstats.com/fighter-details/8ef4a91ac694b7ce,True,42.0
Michel Batista,75.0,260.0,,Orthodox,1984-04-20,http://ufcstats.com/fighter-details/34218661c44ed55d,True,38.0
Bryan Battle,73.0,185.0,77.0,Orthodox,1994-09-21,http://ufcstats.com/fighter-details/f626118b6da0e020,True,28.0
Alan Baudot,75.0,243.0,79.0,Orthodox,1988-02-01,http://ufcstats.com/fighter-details/c9a94278df042f46,True,34.0
Mario Bautista,69.0,135.0,69.0,Switch,1993-07-01,http://ufcstats.com/fighter-details/bc711b6dd95c1af6,True,29.0
Chris Beal,67.0,125.0,69.0,Orthodox,1985-08-06,http://ufcstats.com/fighter-details/55f446032177b119,True,37.0
Ariel Beck,66.0,125.0,66.0,Southpaw,1990-09-16,http://ufcstats.com/fighter-details/b96939f2b8d88e82,True,32.0
Johnny Bedford,70.0,135.0,71.0,Orthodox,1983-01-06,http://ufcstats.com/fighter-details/ffc3e6daaa6da0b7,True,40.0
Mirsad Bektic,68.0,145.0,70.0,Orthodox,1991-02-16,http://ufcstats.com/fighter-details/cbd3e590a85b18c5,True,31.0
Diana Belbita,67.0,125.0,68.0,Orthodox,1996-06-26,http://ufcstats.com/fighter-details/d7e40dca3ae125be,True,26.0
Alan Belcher,74.0,185.0,75.0,Orthodox,1984-04-24,http://ufcstats.com/fighter-details/4130a743d9d22163,True,38.0
Vitor Belfort,72.0,185.0,74.0,Southpaw,1977-04-01,http://ufcstats.com/fighter-details/0ee783aa00e468f0,True,45.0
Danilo Belluardo,72.0,155.0,74.0,Southpaw,1994-07-21,http://ufcstats.com/fighter-details/c3f6db17cea09ca7,True,28.0
Joey Beltran,73.0,185.0,75.0,Orthodox,1981-12-08,http://ufcstats.com/fighter-details/46baf0f57edfa4df,True,41.0
Marco Beltran,68.0,125.0,69.0,Orthodox,1986-05-18,http://ufcstats.com/fighter-details/ec71a892fada28c7,True,36.0
Joseph Benavidez,64.0,125.0,65.0,Southpaw,1984-07-31,http://ufcstats.com/fighter-details/80eacd4da0617c57,True,38.0
Dave Beneteau,74.0,250.0,,Orthodox,,http://ufcstats.com/fighter-details/9fd1f08dd4aec14a,True,
Gabriel Benitez,68.0,155.0,71.0,Southpaw,1988-06-15,http://ufcstats.com/fighter-details/436f970c9ea9169c,True,34.0
DeAnna Bennett,64.0,125.0,68.0,Orthodox,1984-11-18,http://ufcstats.com/fighter-details/404ecb2700844072,True,38.0
Lance Benoist,71.0,170.0,72.0,Southpaw,1988-08-26,http://ufcstats.com/fighter-details/5431dccc09118234,True,34.0
Ryan Benoit,65.0,125.0,68.0,Orthodox,1989-08-25,http://ufcstats.com/fighter-details/20999e27ddd94bda,True,33.0
Steve Berger,71.0,170.0,,Orthodox,1973-05-20,http://ufcstats.com/fighter-details/21b1132949f2a9b0,True,49.0
Keith Berish,72.0,205.0,,Orthodox,1985-11-14,http://ufcstats.com/fighter-details/e3779ef06e98f185,True,37.0
Dennis Bermudez,66.0,155.0,66.0,Orthodox,1986-12-13,http://ufcstats.com/fighter-details/6f242453c91a5af0,True,36.0
Manny Bermudez,70.0,145.0,71.0,Orthodox,1994-07-16,http://ufcstats.com/fighter-details/2dc1bc1a02961656,True,28.0
Talita Bernardo,64.0,135.0,68.0,Orthodox,1987-03-04,http://ufcstats.com/fighter-details/5b2325cd70dbe2ea,True,35.0
Dieusel Berto,69.0,200.0,,,,http://ufcstats.com/fighter-details/0db70ca89e1c7374,True,
Allen Berube,68.0,155.0,,Orthodox,1974-08-25,http://ufcstats.com/fighter-details/aebfb84d1f6d2d8c,True,48.0
Scott Bessac,76.0,245.0,,,,http://ufcstats.com/fighter-details/3f24c96753dbd9f9,True,
Matt Bessette,70.0,145.0,70.0,Orthodox,1984-12-28,http://ufcstats.com/fighter-details/0b8d512c79b4baf3,True,38.0
Arjan Bhullar,73.0,245.0,75.0,Orthodox,1986-05-13,http://ufcstats.com/fighter-details/7e511f8d842a109d,True,36.0
KB Bhullar,76.0,185.0,78.0,Switch,1991-10-12,http://ufcstats.com/fighter-details/9cd047a828dd7515,True,31.0
Bibulatov Magomed,65.0,125.0,65.0,Orthodox,1988-08-22,http://ufcstats.com/fighter-details/87f19d19f4cb73f8,True,34.0
David Bielkheden,70.0,155.0,71.0,Orthodox,1979-06-06,http://ufcstats.com/fighter-details/1efa064872f089d0,True,43.0
Anthony Birchak,68.0,135.0,69.0,Orthodox,1986-05-16,http://ufcstats.com/fighter-details/c5a126ace82a6025,True,36.0
Michael Bisping,73.0,185.0,75.0,Orthodox,1979-02-28,http://ufcstats.com/fighter-details/2b93ebd9f5417ad2,True,43.0
Amaury Bitetti,69.0,185.0,,Orthodox,,http://ufcstats.com/fighter-details/7a359ef685a304a7,True,
Jan Blachowicz,74.0,205.0,78.0,Orthodox,1983-02-24,http://ufcstats.com/fighter-details/99df7d0a2a08a8a8,True,39.0
Jason Black,68.0,155.0,,Orthodox,1972-07-15,http://ufcstats.com/fighter-details/b2f743746e8dcfa2,True,50.0
Brad Blackburn,70.0,170.0,73.0,Orthodox,1977-05-25,http://ufcstats.com/fighter-details/7e69a4b0961aa555,True,45.0
Tom Blackledge,,205.0,,Orthodox,,http://ufcstats.com/fighter-details/2adb11835acd815b,True,
Erin Blanchfield,64.0,125.0,66.0,Orthodox,1999-05-04,http://ufcstats.com/fighter-details/669970f7feba8ecd,True,23.0
Maximo Blanco,68.0,145.0,71.0,Orthodox,1983-10-16,http://ufcstats.com/fighter-details/4a1329cc8eb0928a,True,39.0
Curtis Blaydes,76.0,265.0,80.0,Orthodox,1991-02-18,http://ufcstats.com/fighter-details/fa6796c55d6c5440,True,31.0
Byron Bloodworth,68.0,135.0,,Orthodox,1983-08-16,http://ufcstats.com/fighter-details/ecdf14f4f8643d39,True,39.0
Dan Bobish,74.0,345.0,,Southpaw,1970-01-26,http://ufcstats.com/fighter-details/f348d05403fad037,True,53.0
Mark Bocek,68.0,155.0,75.0,Orthodox,1981-10-24,http://ufcstats.com/fighter-details/cf9d24e4bd0cf2ce,True,41.0
Kyle Bochniak,67.0,145.0,70.0,Orthodox,1987-02-05,http://ufcstats.com/fighter-details/c5af5750e8bae4f0,True,35.0
James Bochnovic,76.0,205.0,81.0,Orthodox,1989-02-13,http://ufcstats.com/fighter-details/984d15d5dc7bfcf9,True,33.0
Tim Boetsch,72.0,185.0,74.0,Orthodox,1981-01-28,http://ufcstats.com/fighter-details/c80095f6092271a7,True,42.0
Galore Bofando,71.0,170.0,72.0,Switch,1982-05-22,http://ufcstats.com/fighter-details/8a56ea383fd26e52,True,40.0
Roman Bogatov,68.0,155.0,73.0,Orthodox,1990-12-15,http://ufcstats.com/fighter-details/d61316139d68dbe3,True,32.0
Jerry Bohlander,71.0,199.0,,Orthodox,1974-02-12,http://ufcstats.com/fighter-details/93892752c5fc23ca,True,48.0
Mandy Bohm,67.0,125.0,71.0,Orthodox,1989-07-30,http://ufcstats.com/fighter-details/297a2b35444c245b,True,33.0
Denys Bondar,66.0,125.0,69.0,Orthodox,1992-06-27,http://ufcstats.com/fighter-details/2526be54e6a0e62a,True,30.0
Jesse Bongfeldt,72.0,185.0,,Orthodox,1980-08-28,http://ufcstats.com/fighter-details/934de214814b8ff4,True,42.0
Stephan Bonnar,76.0,205.0,79.0,Orthodox,1977-04-04,http://ufcstats.com/fighter-details/c6a33ff198aaaeeb,True,45.0
