fighter1,fighter2,odds_f1,odds_f2,bookmaker
Jack Della Maddalena,Randy Brown,1.29,3.65,Barstool Sportsbook
Jack Della Maddalena,Randy Brown,1.29,3.65,SugarHouse
Jack Della Maddalena,Randy Brown,1.29,3.65,TwinSpires
Jack Della Maddalena,Randy Brown,1.29,3.65,BetRivers
Jack Della Maddalena,Randy Brown,1.29,3.65,Unibet
Josh Emmett,Yair Rodriguez,2.35,1.65,LowVig.ag
Josh Emmett,Yair Rodriguez,2.35,1.65,DraftKings
Josh Emmett,Yair Rodriguez,2.26,1.62,MyBookie.ag
Josh Emmett,Yair Rodriguez,2.35,1.65,SuperBook
Josh Emmett,Yair Rodriguez,2.32,1.61,TwinSpires
Josh Emmett,Yair Rodriguez,2.32,1.61,Barstool Sportsbook
Josh Emmett,Yair Rodriguez,2.32,1.61,BetRivers
Josh Emmett,Yair Rodriguez,2.32,1.61,Unibet
Josh Emmett,Yair Rodriguez,2.32,1.61,SugarHouse
Alex Volkanovski,Islam Makhachev,3.95,1.28,LowVig.ag
Alex Volkanovski,Islam Makhachev,3.75,1.28,Barstool Sportsbook
Alex Volkanovski,Islam Makhachev,3.75,1.28,BetRivers
Alex Volkanovski,Islam Makhachev,3.75,1.28,Unibet
Alex Volkanovski,Islam Makhachev,3.75,1.28,TwinSpires
Alex Volkanovski,Islam Makhachev,3.75,1.28,SugarHouse
Alex Volkanovski,Islam Makhachev,4.0,1.27,DraftKings
Alex Volkanovski,Islam Makhachev,3.62,1.28,MyBookie.ag
Alex Volkanovski,Islam Makhachev,3.9,1.29,SuperBook
Alexa Grasso,Valentina Shevchenko,5.1,1.17,Barstool Sportsbook
Alexa Grasso,Valentina Shevchenko,5.1,1.17,TwinSpires
Alexa Grasso,Valentina Shevchenko,5.25,1.17,LowVig.ag
Alexa Grasso,Valentina Shevchenko,5.1,1.17,SugarHouse
Alexa Grasso,Valentina Shevchenko,5.1,1.17,BetRivers
Ciryl Gane,Jon Jones,2.15,1.74,LowVig.ag
Ciryl Gane,Jon Jones,2.05,1.8,DraftKings
Ciryl Gane,Jon Jones,2.1,1.73,Barstool Sportsbook
Ciryl Gane,Jon Jones,2.1,1.73,BetRivers
Ciryl Gane,Jon Jones,2.1,1.73,SugarHouse
Ciryl Gane,Jon Jones,2.1,1.73,TwinSpires
Kamaru Usman,Leon Edwards,1.41,2.85,Barstool Sportsbook
Kamaru Usman,Leon Edwards,1.41,2.85,BetRivers
Kamaru Usman,Leon Edwards,1.41,2.85,SugarHouse
Kamaru Usman,Leon Edwards,1.41,2.85,TwinSpires
Kamaru Usman,Leon Edwards,1.41,3.05,DraftKings
Alex Pereira,Israel Adesanya,2.14,1.71,Barstool Sportsbook
Alex Pereira,Israel Adesanya,2.14,1.71,BetRivers
Alex Pereira,Israel Adesanya,2.14,1.71,TwinSpires
Alex Pereira,Israel Adesanya,2.14,1.71,SugarHouse
Alex Pereira,Israel Adesanya,2.35,1.65,DraftKings
Alex Pereira,Israel Adesanya,2.35,1.65,LowVig.ag
